Date;Data
2013-01;47160.90
2013-02;46897.90
2013-03;55058.60
2013-04;53998.20
2013-05;53742.20
2013-06;57843.00
2013-07;51975.00
2013-08;50908.40
2013-09;56749.50
2013-10;50692.30
2013-11;50511.30
2013-12;78512.70
2014-01;50575.20
2014-02;50390.40
2014-03;61452.00
2014-04;57310.00
2014-05;59415.00
2014-06;62304.30
2014-07;56341.70
2014-08;51679.00
2014-09;60697.60
2014-10;52662.90
2014-11;51040.70
2014-12;80911.10
2015-01;53191.60
2015-02;52930.80
2015-03;60138.40
2015-04;63379.20
2015-05;61573.50
2015-06;65525.00
2015-07;58885.80
2015-08;54269.50
2015-09;61706.60
2015-10;55190.80
2015-11;53450.80
2015-12;82992.60
2016-01;57415.00
2016-02;57025.50
2016-03;63101.10
2016-04;61446.50
2016-05;70641.10
2016-06;71075.40
2016-07;60899.90
2016-08;56361.60
2016-09;65031.40
2016-10;57275.90
2016-11;55641.20
2016-12;87979.70
2017-01;58625.76
2017-02;56902.83
2017-03;64635.25
2017-04;64768.47
2017-05;74159.27
2017-06;73340.31
2017-07;63000.06
2017-08;58866.52
2017-09;67116.49
2017-10;61508.33
2017-11;59552.38
2017-12;93659.95
2018-01;64151.79
2018-02;64541.96
2018-03;72917.05
2018-04;67550.76
2018-05;78191.20
2018-06;76795.02
2018-07;67599.46
2018-08;65065.05
2018-09;71579.69
2018-10;64575.29
2018-11;62555.11
2018-12;95941.02
2019-01;66308.30
2019-02;65384.00
2019-03;73414.80
2019-04;70581.80
2019-05;85427.30
2019-06;81566.70
2019-07;72130.10
2019-08;68392.50
2019-09;75149.00
2019-10;67764.90
2019-11;65039.60
2019-12;101982.70
2020-01;69516.20
2020-02;72049.60
2020-03;77969.60
2020-04;73349.00
2020-05;89603.10
2020-06;83854.50
2020-07;76072.00
2020-08;71947.50
2020-09;79628.40
2020-10;69536.10
2020-11;69722.50
2020-12;112294.80
2021-01;72687.40
2021-02;76345.60
2021-03;83301.10
2021-04;80614.20
2021-05;89757.40
2021-06;102944.50
2021-07;82180.50
2021-08;75737.00
2021-09;86099.30
2021-10;76840.40
2021-11;75844.80
2021-12;120180.00
2022-01;80837.20
2022-02;84063.70
2022-03;94812.60
2022-04;91520.80
2022-05;98215.00
2022-06;107332.30
2022-07;104483.70
2022-08;88219.8
2022-09;104046.8
