Date;Data
2013-01;17057
2013-02;17050
2013-03;17983
2013-04;19267
2013-05;19569
2013-06;20686
2013-07;19650
2013-08;18700
2013-09;19542
2013-10;19437
2013-11;19871
2013-12;25242
2014-01;19722
2014-02;19056
2014-03;19532
2014-04;20660
2014-05;21178
2014-06;21787
2014-07;21328
2014-08;20463
2014-09;20905
2014-10;20832
2014-11;21288
2014-12;26585
2015-01;20146
2015-02;20411
2015-03;21151
2015-04;20641
2015-05;22501
2015-06;22541
2015-07;21944
2015-08;21612
2015-09;21723
2015-10;21614
2015-11;21483
2015-12;26999
2016-01;20931
2016-02;21113
2016-03;22597
2016-04;22021
2016-05;24453
2016-06;25174
2016-07;22735
2016-08;22676
2016-09;23089
2016-10;22944
2016-11;23491
2016-12;29325
2017-01;22589
2017-02;22446
2017-03;23862
2017-04;24048
2017-05;26561
2017-06;27260
2017-07;24772
2017-08;24529
2017-09;25640
2017-10;25657
2017-11;25022
2017-12;31571
2018-01;25548
2018-02;25510
2018-03;26622
2018-04;26502
2018-05;29707
2018-06;29507
2018-07;27400
2018-08;26981
2018-09;27085
2018-10;27018
2018-11;27887
2018-12;33553
2019-01;27616
2019-02;27310
2019-03;28372
2019-04;29403
2019-05;32227
2019-06;31773
2019-07;29316
2019-08;29879
2019-09;29580
2019-10;30253
2019-11;30033
2019-12;38667
2020-01;30060
2020-02;30394
2020-03;31049
2020-04;31928
2020-05;33572
2020-06;34439
2020-07;32469
2020-08;32268
2020-09;31895
2020-10;30874
2020-11;30813
2020-12;42649
2021-01;32516
2021-02;31666
2021-03;33880
2021-04;35182
2021-05;35899
2021-06;37794
2021-07;34314
2021-08;33376
2021-09;35033
2021-10;33936
2021-11;35101
2021-12;45578
2022-01;34410
2022-02;34258
2022-03;37271
2022-04;39563
2022-05;39900
2022-06;42964
2022-07;38367
2022-08;38950
2022-09;39912
