Date;Data
2013-01;25338
2013-02;24945
2013-03;26795
2013-04;27908
2013-05;27184
2013-06;28388
2013-07;28201
2013-08;27290
2013-09;27400
2013-10;28669
2013-11;28882
2013-12;34823
2014-01;28043
2014-02;26972
2014-03;28518
2014-04;30103
2014-05;29885
2014-06;30956
2014-07;29856
2014-08;28168
2014-09;28986
2014-10;29937
2014-11;29917
2014-12;35999
2015-01;29054
2015-02;28653
2015-03;30348
2015-04;31108
2015-05;31166
2015-06;32649
2015-07;30921
2015-08;29252
2015-09;30158
2015-10;30548
2015-11;30623
2015-12;37607
2016-01;29962
2016-02;29874
2016-03;31310
2016-04;31782
2016-05;32826
2016-06;34128
2016-07;32046
2016-08;31638
2016-09;32280
2016-10;32631
2016-11;33321
2016-12;41030
2017-01;32257
2017-02;32862
2017-03;34061
2017-04;34662
2017-05;35985
2017-06;37439
2017-07;33061
2017-08;32050
2017-09;32670
2017-10;33686
2017-11;33623
2017-12;41646
2018-01;33809
2018-02;34438
2018-03;35337
2018-04;35911
2018-05;38730
2018-06;40338
2018-07;37805
2018-08;36471
2018-09;36787
2018-10;36222
2018-11;37605
2018-12;47242
2019-01;37210
2019-02;38084
2019-03;39128
2019-04;40168
2019-05;41689
2019-06;42702
2019-07;40273
2019-08;38624
2019-09;39653
2019-10;41079
2019-11;41155
2019-12;50909
2020-01;41080
2020-02;40941
2020-03;42067
2020-04;41114
2020-05;44012
2020-06;43901
2020-07;41650
2020-08;41199
2020-09;42241
2020-10;42630
2020-11;42537
2020-12;54298
2021-01;42947
2021-02;43413
2021-03;45513
2021-04;48000
2021-05;47890
2021-06;50999
2021-07;47280
2021-08;45779
2021-09;47976
2021-10;47862
2021-11;49692
2021-12;62812
2022-01;49323
2022-02;48098
2022-03;54382
2022-04;52791
2022-05;53726
2022-06;57345
2022-07;53706
2022-08;52473
2022-09;54517
