Date;Data
2013-01;62592
2013-02;65436
2013-03;65852
2013-04;86809
2013-05;73132
2013-06;71518
2013-07;67553
2013-08;65470
2013-09;65447
2013-10;63345
2013-11;62171
2013-12;84048
2014-01;67195
2014-02;68252
2014-03;73468
2014-04;90185
2014-05;81474
2014-06;78333
2014-07;72266
2014-08;68011
2014-09;71796
2014-10;68029
2014-11;67112
2014-12;87911
2015-01;70116
2015-02;71151
2015-03;71949
2015-04;99227
2015-05;86302
2015-06;79281
2015-07;74963
2015-08;72817
2015-09;73213
2015-10;70439
2015-11;71081
2015-12;89941
2016-01;77880
2016-02;77993
2016-03;80438
2016-04;101554
2016-05;94769
2016-06;86720
2016-07;82526
2016-08;78247
2016-09;77393
2016-10;75630
2016-11;74205
2016-12;98971
2017-01;80260
2017-02;82329
2017-03;86741
2017-04;110636
2017-05;105617
2017-06;93377
2017-07;86971
2017-08;84205
2017-09;81841
2017-10;82769
2017-11;81481
2017-12;102750
2018-01;88232
2018-02;91312
2018-03;96772
2018-04;112884
2018-05;117682
2018-06;98366
2018-07;91308
2018-08;90869
2018-09;86013
2018-10;86532
2018-11;86560
2018-12;113624
2019-01;91442
2019-02;92193
2019-03;96391
2019-04;117691
2019-05;120671
2019-06;104035
2019-07;97385
2019-08;97365
2019-09;89703
2019-10;90694
2019-11;89778
2019-12;116810
2020-01;98645
2020-02;101040
2020-03;104927
2020-04;111955
2020-05;141319
2020-06;117335
2020-07;106531
2020-08;100890
2020-09;105398
2020-10;100602
2020-11;96622
2020-12;140808
2021-01;107511
2021-02;109693
2021-03;110891
2021-04;119137
2021-05;143479
2021-06;127719
2021-07;110479
2021-08;108320
2021-09;104116
2021-10;105656
2021-11;107162
2021-12;137679
2022-01;116828
2022-02;119510
2022-03;130343
2022-04;130038
2022-05;158333
2022-06;135765
2022-07;133318
2022-08;127193
2022-09;119453
