Date;Data
2006-01;109422
2006-02;114069
2006-03;129178
2006-04;113392
2006-05;125100
2006-06;124238
2006-07;125927
2006-08;140228
2006-09;123950
2006-10;130757
2006-11;122258
2006-12;117702
2007-01;125368
2007-02;117186
2007-03;129618
2007-04;116527
2007-05;136795
2007-06;127509
2007-07;142686
2007-08;149912
2007-09;132454
2007-10;154324
2007-11;135487
2007-12;134521
2008-01;141262
2008-02;132405
2008-03;133235
2008-04;140213
2008-05;132539
2008-06;131845
2008-07;163520
2008-08;148284
2008-09;151064
2008-10;160158
2008-11;132407
2008-12;150549
2009-01;137503
2009-02;133343
2009-03;151027
2009-04;142828
2009-05;135218
2009-06;149348
2009-07;163309
2009-08;151739
2009-09;156717
2009-10;154049
2009-11;135173
2009-12;153910
2010-01;132371
2010-02;135015
2010-03;160950
2010-04;143644
2010-05;139043
2010-06;157813
2010-07;158207
2010-08;159610
2010-09;150999
2010-10;149774
2010-11;148731
2010-12;153466
2011-01;132954
2011-02;133593
2011-03;157425
2011-04;133954
2011-05;136564
2011-06;148089
2011-07;155221
2011-08;173166
2011-09;158052
2011-10;153789
2011-11;156028
2011-12;154993
2012-01;143790
2012-02;150544
2012-03;157323
2012-04;140563
2012-05;160160
2012-06;153359
2012-07;170949
2012-08;176707
2012-09;155869
2012-10;177661
2012-11;157272
2012-12;152066
2013-01;158930
2013-02;142973
2013-03;146062
2013-04;152913
2013-05;152496
2013-06;149800
2013-07;181907
2013-08;169963
2013-09;156199
2013-10;180373
2013-11;151662
2013-12;157904
2014-01;153330
2014-02;148182
2014-03;150399
2014-04;158815
2014-05;155862
2014-06;152606
2014-07;184369
2014-08;166129
2014-09;167354
2014-10;173502
2014-11;143579
2014-12;163963
2015-01;149270
2015-02;144592
2015-03;160975
2015-04;156993
2015-05;149182
2015-06;165764
2015-07;181998
2015-08;168654
2015-09;173143
2015-10;171003
2015-11;151074
2015-12;171488
2016-01;142052
2016-02;149012
2016-03;167141
2016-04;147711
2016-05;156589
2016-06;165872
2016-07;165340
2016-08;181743
2016-09;159819
2016-10;152816
2016-11;155082
2016-12;150079
2017-01;136544
2017-02;126828
2017-03;148329
2017-04;125534
2017-05;141947
2017-06;141846
2017-07;148329
2017-08;162223
2017-09;140038
2017-10;146472
2017-11;138108
2017-12;133686
2018-01;135528
2018-02;122425
2018-03;132937
2018-04;123297
2018-05;136867
2018-06;131697
2018-07;146142
2018-08;149233
2018-09;131897
2018-10;142492
2018-11;126668
2018-12;120133
2019-01;125658
2019-02;111739
2019-03;117793
2019-04;121080
