Date;Data
2013-03;37341
2013-06;41393
2013-09;41173
2013-12;40285
2014-03;38467
2014-06;41836
2014-09;41466
2014-12;42231
2015-03;42999
2015-06;47869
2015-09;46341
2015-12;48517
2016-03;44229
2016-06;49095
2016-09;45559
2016-12;49968
2017-03;46605
2017-06;51129
2017-09;46127
2017-12;52009
2018-03;47742
2018-06;53385
2018-09;49134
2018-12;53600
2019-03;48930
2019-06;55790
2019-09;52369
2019-12;57581
2020-03;51245
2020-06;56074
2020-09;53616
2020-12;58263
2021-03;50601
2021-06;59452
2021-09;56569
2021-12;62366
2022-03;55549
2022-06;64841
