Date;Data
2006-01;209058
2006-02;181608
2006-03;195086
2006-04;172981
2006-05;193808
2006-06;178184
2006-07;167403
2006-08;176827
2006-09;164593
2006-10;182237
2006-11;173918
2006-12;170039
2007-01;190699
2007-02;162946
2007-03;184620
2007-04;167941
2007-05;188375
2007-06;165585
2007-07;169697
2007-08;172482
2007-09;154649
2007-10;182071
2007-11;171487
2007-12;169516
2008-01;200476
2008-02;167748
2008-03;178059
2008-04;178907
2008-05;177615
2008-06;166309
2008-07;176632
2008-08;158095
2008-09;169417
2008-10;175999
2008-11;154977
2008-12;176728
2009-01;185479
2009-02;157744
2009-03;183148
2009-04;169845
2009-05;163681
2009-06;169169
2009-07;167546
2009-08;150689
2009-09;159980
2009-10;166219
2009-11;161064
2009-12;179026
2010-01;176316
2010-02;160701
2010-03;178621
2010-04;163701
2010-05;162610
2010-06;169039
2010-07;182020
2010-08;191951
2010-09;159549
2010-10;159120
2010-11;159247
2010-12;168088
2011-01;170508
2011-02;155042
2011-03;177662
2011-04;155453
2011-05;165297
2011-06;157437
2011-07;155997
2011-08;162424
2011-09;153898
2011-10;156447
2011-11;158330
2011-12;156541
2012-01;165630
2012-02;158551
2012-03;162426
2012-04;154066
2012-05;168653
2012-06;153340
2012-07;157662
2012-08;153946
2012-09;144390
2012-10;167471
2012-11;153462
2012-12;159239
2013-01;180734
2013-02;148581
2013-03;161219
2013-04;161961
2013-05;160723
2013-06;142808
2013-07;158721
2013-08;146897
2013-09;144490
2013-10;168671
2013-11;145823
2013-12;157641
2014-01;168057
2014-02;149882
2014-03;156576
2014-04;161341
2014-05;161710
2014-06;146297
2014-07;160638
2014-08;146275
2014-09;155294
2014-10;163431
2014-11;143141
2014-12;166663
2015-01;174723
2015-02;156737
2015-03;175810
2015-04;164705
2015-05;154855
2015-06;161267
2015-07;155922
2015-08;145113
2015-09;154600
2015-10;156753
2015-11;147626
2015-12;163302
2016-01;169771
2016-02;156779
2016-03;166307
2016-04;150761
2016-05;160437
2016-06;156514
2016-07;146874
2016-08;159864
2016-09;149829
2016-10;150667
2016-11;156836
2016-12;163274
2017-01;179410
2017-02;146802
2017-03;161610
2017-04;142226
2017-05;161000
2017-06;149314
2017-07;143413
2017-08;152367
2017-09;141652
2017-10;155161
2017-11;145248
2017-12;146137
2018-01;165836
2018-02;142931
2018-03;169408
2018-04;157368
2018-05;162805
2018-06;148590
2018-07;152478
2018-08;147822
2018-09;136140
2018-10;150143
2018-11;138749
2018-12;145440
2019-01;168495
2019-02;142287
2019-03;151076
2019-04;163701
